Company Name,Ticker,Location,Location Type,Sales,SIC,URL,Phone Number,Description
"YARBROUGH ELECTRONICS SALES, INC.",,ARIZONA(USA),Single Location,"$4,518,104",36720000,WWW.YESPCB.BIZ,(520) 795-1603,"Located at 3450 S. Broadmont Drive, Suite 120, Tucson, AZ 85713, Yarbrough Electronics Sales, LLC is a trusted contract manufacturer serving the medical, military, homeland security, and industrial sectors, offering services from rapid prototyping to full-scale turnkey production of electronic manufacturing services. "
AZSENSCO LLC,,ARIZONA(USA),Single Location,"$4,469,854",36740000,WWW.AZSENSCO.COM,(520) 907-1540,"Based in Tucson, AZ, AZSensco LLC designs and manufactures pressure sensors, pressure transducers, temperature sensors, and custom sensors for OEMs in industrial, medical, oil & gas, and process industries, providing solutions for challenging applications."
"ARRAY PHOTONICS, INC.",,ARIZONA(USA),Single Location,"$4,335,837",36740306,,(408) 503-7000,"Array Photonics, located in Arizona, is a semiconductor company that designs and manufactures laser and photodetector arrays for next-generation infrared sensing applications, based on its proprietary semiconductor technology. "
"COVID, INC.",,ARIZONA(USA),Single Location,"$4,333,384",36799905,WWW.COVID.COM,(480) 966-2221,"With over 40 years in the AV industry, COVID, Inc., located at 1723 W 4th St, Tempe, AZ 85281, manufactures innovative audio-visual connectivity solutions, including custom wall plates, cable products, connectors, and signal management solutions."
OUTROAR LLC,,ARIZONA(USA),Single Location,"$4,295,191",36720000,WWW.OUTROAR.COM,(602) 373-3035,"Based at 2012 W Lone Cactus Dr, Phoenix, AZ 85027, Outroar LLC specializes in expert quick-turn prototype PCB fabrication and manufacturing services, offering rigid, flex, and rigid-flex printed circuit board solutions."
"KES SYSTEMS, INC.",,ARIZONA(USA),Headquarters,"$4,285,964",36729901,WWW.KESSYSTEMSINC.COM,(602) 431-1760,"Located in Tempe, AZ, KES Systems is the world's leading manufacturer of burn-in boards and a trusted provider of wafer-level burn-in (WLBI) solutions for the semiconductor industry, delivering high-quality burn-in boards and innovative systems tailored to meet reliability and performance needs."
"LEGACY CAPITAL EQUIPMENT, LLC",,ARIZONA(USA),Single Location,"$4,241,554",36740213,WWW.BROADWAYENGINEERING.COM,(480) 507-7991,"Based in Mesa, AZ, Legacy Capital Equipment offers a wide range of refurbished, re-manufactured, and tested Applied Materials® spare parts, serving the semiconductor industry with quality equipment and components."
"INTERLNX, INC.",,ARIZONA(USA),Single Location,"$4,199,702",36799905,WWW.INTERLNX.COM,(520) 682-4330,"Located at 13900 N Amole Cir, Marana, AZ 85658, InterLnX, Inc. specializes in the production of cable assemblies, wire harnesses, and electro-mechanical assemblies, serving the commercial and military aerospace markets, medical equipment market, and commercial/military test equipment markets. "
"SEALTRONICS, INC.",,ARIZONA(USA),Single Location,"$4,178,301",36799907,WWW.PLATRONICS-SEALS.COM,(973) 478-3700,"Based at 1111 W Fairmont Dr, Tempe, AZ 85282, Sealtronics, Inc. specializes in providing innovative solutions in the field of electronic seals and security systems, offering advanced security solutions for various applications."
"FINETECH, INC.",,ARIZONA(USA),Headquarters,"$4,133,019",36740000,WWW.FINETECHUSA.COM,(480) 893-1630,"Finetech, Inc. operates in Arizona, providing advanced rework and bonding equipment for the semiconductor industry, supporting applications in research and development, prototyping, and production environments."
"ON MANAGEMENT, LLC",,ARIZONA(USA),Headquarters,"$3,963,424",36740200,WWW.ONSEMI.COM,(602) 244-6600,"ON Management, LLC is based in Arizona, offering management and consulting services for semiconductor manufacturing operations, focusing on optimizing production processes and operational efficiency."
LATHAM INDUSTRIES LLC,,ARIZONA(USA),Single Location,"$3,881,351",36720000,WWW.LATHAMINDUSTRIES.COM,(602) 529-6108,"Located in Arizona, Latham Industries LLC provides electronic manufacturing services, including PCB assembly and testing, serving various industries with a focus on quality and reliability."
"PHOENIX TEST ARRAYS, LLC",,ARIZONA(USA),Single Location,"$3,722,206",36720000,WWW.PHXTEST.COM,(602) 518-5799,"Phoenix Test Arrays, LLC, based in Arizona, specializes in the design and manufacturing of test arrays for semiconductor applications, offering solutions for device characterization and validation."
"TKM, INC.",,ARIZONA(USA),Single Location,"$3,714,457",36790100,https://tkmus.com,(480) 991-5351,"TKM, Inc., located in Arizona, offers services in semiconductor equipment maintenance and support, providing solutions to enhance equipment performance and longevity."
FAIRCHILD SEMICONDUCTOR CORPORATION OF CALIFORNIA,,ARIZONA(USA),Single Location,"$3,621,855",36740200,WWW.ONSEMI.COM,,"Founded in 1957 in Palo Alto, California, Fairchild Semiconductor was a pioneer in the manufacturing of transistors and integrated circuits. While its headquarters were in California, the company had multiple research and production facilities across the United States, including Arizona, contributing to its role in the development of Silicon Valley."
"QUANTENNA, INC.",,ARIZONA(USA),Single Location,"$3,558,124",36740200,WWW.QUANTENNA.COM,,"Established in 2006, Quantenna Communications specialized in high-performance Wi-Fi solutions. In 2019, it was acquired by ON Semiconductor Corporation, headquartered in Scottsdale, Arizona, enhancing ON Semiconductor's connectivity portfolio."
"SUNPOWER NORTH AMERICA, LLC",,ARIZONA(USA),Single Location,"$3,477,778",36740306,https://us.sunpower.com,,"SunPower Corporation, founded in 1985, is a provider of photovoltaic solar energy generation systems and battery energy storage products. While headquartered in California, SunPower has been involved in various solar projects across the United States, including Arizona, contributing to renewable energy initiatives in the region."
SILVERADO CABLE COMPANY INC.,,ARIZONA(USA),Single Location,"$3,345,180",36799905,WWW.PHX-DEFENSE.COM,(480) 655-8751,"Founded in 1994 and headquartered in Mesa, Arizona, Silverado Cable Company specialized in ruggedized, point-to-point electrical harnessing design and manufacturing for the aerospace and defense industries. In 2016, it was acquired by Phoenix Logistics, Inc., expanding its capabilities in interconnect harnessing."
NAN YA PCB USA CORP,,ARIZONA(USA),Single Location,"$3,325,896",36720000,,(480) 897-6688,"Nan Ya Printed Circuit Board Corporation, established in 1997, is a major PCB manufacturer. While its primary operations are based in Taiwan, Nan Ya PCB has extended its services globally, including the United States. Specific details about its operations in Arizona are not readily available."
"JAVID, LLC",,ARIZONA(USA),Headquarters,"$3,319,232",36720000,WWW.JAVIDLLC.COM,(520) 377-2420,"Incorporated in 1983 and headquartered in Nogales, Arizona, Javid LLC provides shelter services for manufacturers looking to operate in Mexico. The company assists in establishing manufacturing operations, offering support in areas such as human resources, accounting, and compliance."
APEX FSC,,ARIZONA(USA),Single Location,"$3,292,744",36790100,WWW.APEXANALOG.COM,,Limited information is available regarding APEX FSC's operations in Arizona. Further research may be necessary to provide a comprehensive overview of the company's activities in the semiconductor industry within the state.
"BE SEMICONDUCTOR INDUSTRIES USA, INC.",,ARIZONA(USA),Headquarters,"$3,289,608",36740205,WWW.BESI.COM,(480) 497-6404,"BE Semiconductor Industries (Besi), founded in 1995, develops assembly processes and equipment for semiconductor packaging applications. While its headquarters are in the Netherlands, Besi operates globally, including in the United States. Specific details about its Arizona operations are not readily available."
"BENCHMARK ELECTRONICS MANUFACTURING SOLUTIONS, INC.",,ARIZONA(USA),Single Location,"$3,234,229",36720000,WWW.BENCH.COM,,"Founded in 1979, Benchmark Electronics is a global provider of engineering, design, and manufacturing services. In March 2023, the company opened a 64,000-square-foot Precision Technologies facility in Mesa, Arizona, focusing on aerospace, defense, and semiconductor capital equipment."
"GIANT HOLDINGS, INC.",,ARIZONA(USA),Single Location,"$3,218,978",36740200,https://www.giantgroup.com,,"Giant Industries, established in 1969 and headquartered in Scottsdale, Arizona, was an oil refinery company operating refineries and service stations in the southwestern United States. While not directly involved in the semiconductor industry, its presence contributed to the industrial landscape of Arizona."
"ROCTOV, LLC",,ARIZONA(USA),Single Location,"$3,218,978",36740200,,,"Limited information is available regarding ROCTOV, LLC's operations in Arizona. Further research may be necessary to provide a comprehensive overview of the company's activities in the semiconductor industry within the state."
SILICON PATENT HOLDINGS,,ARIZONA(USA),Single Location,"$3,218,978",36740000,,,"Specific details about Silicon Patent Holdings' foundation date, location in Arizona, and operations are not readily available. Additional information would be required to provide an accurate description."
"SOLESTIAL, INC.",,ARIZONA(USA),Single Location,"$3,213,769",36740306,WWW.SOLESTIAL.COM,(520) 838-9404,"Founded in 2013 and headquartered in Tempe, Arizona, Solestial manufactures solar cells and modules designed for space applications. In 2023, the company opened a 30,000-square-foot dedicated manufacturing facility in Tempe, contributing to Arizona's growing aerospace and semiconductor sectors."
"C.E. PRECISION ASSEMBLIES, LLC",,ARIZONA(USA),Single Location,"$3,138,075",36790100,WWW.CEPAINC.COM,(480) 940-0740,"Established in 1986 and located in Chandler, Arizona, C.E. Precision Assemblies (CEPA) is a contract assembly facility specializing in the aerospace and defense industries. The company provides a range of services, including custom molding and overbraiding, supporting Arizona's semiconductor and electronics manufacturing ecosystem."
WINCHESTER INTERCONNECT CORPORATION,,ARIZONA(USA),Single Location,"$3,109,138",36780000,WWW.WINCONN.COM,(203) 500-7402,"Founded in 1941 and headquartered in Milford, Connecticut, Winchester Interconnect Corporation specializes in the design and manufacture of custom interconnect solutions. The company operates facilities across the United States, including in Arizona, where it supports various industries such as aerospace, defense, and semiconductor manufacturing."
TANTALUM PELLET COMPANY,,ARIZONA(USA),Single Location,"$3,097,221",36750000,WWW.TANTALUM-PELLET.COM,(623) 582-5555,"Specific details about Tantalum Pellet Company's foundation date, location in Arizona, and operations are not readily available. Additional information would be required to provide an accurate description."
TOPSIL US,,ARIZONA(USA),Single Location,"$3,095,948",36749909,https://www.topsil.com/en/,,Limited information is available regarding TOPSIL US's operations in Arizona. Further research may be necessary to provide a comprehensive overview of the company's activities in the semiconductor industry within the state.
SCS SECURE HOLDINGS LLC,,ARIZONA(USA),Single Location,"$3,094,216",36720000,https://www.secureholdingsllc.com,,"Specific details about SCS Secure Holdings LLC's foundation date, location in Arizona, and operations are not readily available. Additional information would be required to provide an accurate description."
MESA MW CORPORATION,,ARIZONA(USA),Single Location,"$3,093,983",36790105,WWW.MESAMICROWAVE.COM,(480) 890-1612,Limited information is available regarding Mesa MW Corporation's operations in Arizona. Further research may be necessary to provide a comprehensive overview of the company's activities in the semiconductor industry within the state.
MEYER BURGER (AMERICAS) LTD.,,ARIZONA(USA),Headquarters,"$3,093,069",36740306,WWW.MEYERBURGER.COM,(503) 645-3200,"Meyer Burger, a Swiss company specializing in photovoltaic technology, operates in the United States under Meyer Burger (Americas) Ltd. While the company's U.S. headquarters are in Arizona, specific details about its operations within the state are not readily available."
K TEC OPERATING CORP.,,ARIZONA(USA),Single Location,"$2,972,479",36720000,,,"Established in 1996 and is located at 201 W Hermosa Dr, Tempe, AZ 85282. The company specializes in HEAD-related components for semiconductor Chemical Mechanical Planarization (CMP) equipment."
"SCIOMED, INC.",,ARIZONA(USA),Single Location,"$2,972,479",36720000,https://www.scinomed.com,,
"MICRO-HYBRID DIMENSIONS, INC.",,ARIZONA(USA),Single Location,"$2,962,447",36740202,WWW.MICRO-HYBRID.COM,(480) 731-3131,"In Tempe, AZ 85281. The company specializes in thick film hybrid ceramic substrates and is a supplier of semiconductor equipment and supplies."
"SERIOUS INTEGRATED, INC.",,ARIZONA(USA),Single Location,"$2,900,216",36740000,SERIOUS.E2IP.COM,(480) 646-8300,"Founded in December 2008 and is based in Chandler, AZ. The company focuses on enabling original equipment manufacturers (OEMs) to develop graphic/touch front panels, offering hardware, software, and development tools for modern user interfaces."
"RETRONIX RF, INC.",,ARIZONA(USA),Single Location,"$2,876,155",36740000,https://retronix.com,(480) 785-0401,"Established in 2016 and operates in Mesa, AZ. The company specializes in semiconductor services, including IC refurbishment, recovery, and re-use, aiming to extend product lifecycles with sustainable solutions."
ALMAX RP,,ARIZONA(USA),Single Location,"$2,865,577",36790100,WWW.ALMAX-RP.COM,(520) 647-0190,"Tucson, AZ, and has been manufacturing membrane switches for over a decade. The company designs and manufactures custom membrane switches, silicone rubber keypads, and printed electronics, including screen-printed electrodes on glass and silicon wafers."
EUROFRANCO LLC,,ARIZONA(USA),Single Location,"$2,862,919",36740200,,,
ADVOTECH COMPANY INC.,,ARIZONA(USA),Single Location,"$2,821,494",36740000,WWW.ADVOTECH.COM,(480) 736-0406,"Tempe, AZ, and offers top-quality semiconductor assembly services. The company provides a range of services, including dicing, package assembly, engineering support, process controls, and RF & sensor services."
"AVEX CONSTITUTION, INC.",,ARIZONA(USA),Single Location,"$2,820,235",36720000,,,
"SUMMIT PRECISION, INC.",,ARIZONA(USA),Single Location,"$2,810,937",36790100,,(602) 268-3550,"Phoenix, AZ 85040. The company specializes in precision manufacturing services, focusing on quality and customer satisfaction across various industries"
"BOARD TECHNOLOGY INNOVATIONS, LLC",,ARIZONA(USA),Single Location,"$2,800,528",36720000,WWW.BTIPCB.COM,(480) 539-4400,"Woman-owned business situated at 4665 S. Ash Avenue, Suite G-20, Tempe, AZ 85282. The company provides engineering services related to PCB product development, design, and assembly, offering full turnkey solutions."
BENCHMARK ELECTRONICS DELAWARE CORP.,,ARIZONA(USA),Single Location,"$2,793,911",36720000,WWW.BENCH.COM,,
"BENCHMARK BV HOLDINGS, INC.",,ARIZONA(USA),Single Location,"$2,752,420",36720000,WWW.BENCH.COM,,
LIBERTY AVEX INC,,ARIZONA(USA),Single Location,"$2,752,420",36720000,,,
"RESONANT SOLUTIONS, LLC",,ARIZONA(USA),Single Location,"$2,740,104",36740000,WWW.RESONANT-SOLUTIONS.COM,(602) 281-9340,"Based in Tempe, AZ, and offers precision machining and engineering solutions. The company serves aerospace, defense, and medical manufacturers, aiming to reduce lead times and improve quality with high-precision, automated manufacturing solutions."
"MILLIMETER WAVE TECHNOLOGY, LLC",,ARIZONA(USA),Single Location,"$2,715,779",36790105,WWW.MMWAVETECH.COM,(480) 941-2990,
"ASM NUTOOL, INC.",,ARIZONA(USA),Single Location,"$2,680,814",36740000,WWW.ASM.COM,(602) 470-2917,
"SEMI TECHNOLOGY SOLUTIONS, L.L.C.",,ARIZONA(USA),Single Location,"$2,647,576",36740000,WWW.SEMITS.COM,(480) 461-1699,
EFTC OPERATING CORP,,ARIZONA(USA),Headquarters,"$2,578,721",36720000,,(602) 282-5000,
"CENTROSOLAR AMERICA, INC.",,ARIZONA(USA),Single Location,"$2,577,944",36740306,WWW.CENTROSOLARAMERICA.COM,(480) 348-2555,
RICHARD M MIDDLETON LLC,,ARIZONA(USA),Single Location,"$2,577,883",36720000,,,
"CACTUS MATERIALS, INC.",,ARIZONA(USA),Single Location,"$2,555,137",36740000,WWW.CACTUSMATERIALS.COM,(480) 213-4704,
SENSL TECHNOLOGIES USA LLC,,ARIZONA(USA),Single Location,"$2,535,175",36740200,WWW.ONSEMI.COM,,
"COMPONENT RESEARCH COMPANY, LLC",,ARIZONA(USA),Single Location,"$2,533,877",36750000,WWW.ARIZONACAPACITORS.COM,(520) 573-0221,
"AMKOR TECHNOLOGY ARIZONA, INC.",,ARIZONA(USA),Single Location,"$2,377,482",36740000,https://amkor.com,,
"E-TEKNET, INC.",,ARIZONA(USA),Headquarters,"$2,338,845",36720000,WWW.E-TEKNET.COM,(480) 752-7854,
DILAS DIODE LASER INC.,,ARIZONA(USA),Single Location,"$2,325,411",36740103,,(520) 232-3480,
"CYBERNETWORKS, L.L.C.",,ARIZONA(USA),Single Location,"$2,285,403",36790100,WWW.CYBERNETWORKSLLC.COM,(602) 740-7376,
"ADVENT DIAMOND, INC.",,ARIZONA(USA),Single Location,"$2,226,217",36740000,WWW.ADVENTDIAMOND.COM,(480) 287-2666,
"NOVOTECH OPTICAL SEMICONDUCTOR, INC",,ARIZONA(USA),Single Location,"$2,176,406",36749909,,(928) 368-5013,
"ASSMANN WSW COMPONENTS, INC.",,ARIZONA(USA),Single Location,"$2,107,456",36780000,WWW.ASSMANN-WSW.COM,(480) 897-7001,
ALPHI TECHNOLOGY CORPORATION,,ARIZONA(USA),Single Location,"$2,106,374",36720000,WWW.ALPHITECH.COM,(480) 838-2428,
MICROGROUP MANUFACTURING INC,,ARIZONA(USA),Single Location,"$2,068,898",36790100,https://www.microgroup.com,(480) 699-2260,
AMKOR WORLDWIDE SERVICES LLC,,ARIZONA(USA),Single Location,"$2,035,621",36740000,WWW.AMKOR.COM,,
"GUARDIAN ASSETS, INC.",,ARIZONA(USA),Single Location,"$2,033,179",36740000,,,
"KESU SYSTEMS & SERVICE, INC.",,ARIZONA(USA),Single Location,"$2,014,861",36729901,,(602) 431-1760,
ARTESYN ESCROW INC.,,ARIZONA(USA),Single Location,"$1,987,624",36790000,WWW.ADVANCEDENERGY.COM,(800) 759-1107,
"SERIOUS INTEGRATED, INC.",,ARIZONA(USA),Single Location,"$1,981,903",36740000,SERIOUS.E2IP.COM,(480) 646-8300,
"HIGH SPEED INTERCONNECTS, LLC",,ARIZONA(USA),Headquarters,"$1,949,225",36740000,WWW.HIGHSPEEDINT.COM,(480) 998-2540,
"ELECTRONIC DEVICES, INC.",,ARIZONA(USA),Single Location,"$1,943,727",36740000,WWW.SECURITYPOWER.COM,(602) 232-2802,
"CATHIO, LLC",,ARIZONA(USA),Single Location,"$1,941,615",36720000,,,
"ASSEMBLY PLUS, L.L.C.",,ARIZONA(USA),Single Location,"$1,938,326",36729901,,(623) 869-0870,
"EMI TECHNOLOGY PHOENIX, INC.",,ARIZONA(USA),Single Location,"$1,900,000",36790112,https://emitechnologies.com,(602) 454-8600,
PRESSCOM ELECTRONICS LLC,,ARIZONA(USA),Single Location,"$1,892,504",36720000,,,
MICROCHIP HOLDING CORPORATION,,ARIZONA(USA),Single Location,"$1,881,978",36740000,,(480) 792-7200,
"ATI SEMICONDUCTOR PACKAGING, INC.",,ARIZONA(USA),Single Location,"$1,849,665",36740000,,(480) 821-5000,
"NMODE SOLUTIONS, INC.",,ARIZONA(USA),Single Location,"$1,829,506",36790100,,(520) 209-1556,
CYMER LLC,,ARIZONA(USA),Single Location,"$1,817,905",36740000,WWW.CYMER.COM,,
"CACTUS SEMICONDUCTOR, INC.",,ARIZONA(USA),Single Location,"$1,791,719",36740000,WWW.CACTUSSEMICONDUCTOR.COM,(480) 497-4511,
"LIGHTSENSE TECHNOLOGY, INC.",,ARIZONA(USA),Single Location,"$1,785,631",36740401,WWW.LIGHTSENSETECHNOLOGY.COM,(520) 955-3482,
TESTRA CORPORATION,,ARIZONA(USA),Single Location,"$1,734,140",36790100,WWW.TESTRA.COM,(480) 966-7215,
"TEST ACUITY SOLUTIONS, INC.",,ARIZONA(USA),Single Location,"$1,706,361",36740000,WWW.TESTACUITYSOLUTIONS.COM,(480) 337-3377,
"FILTERMAG, INC",,ARIZONA(USA),Single Location,"$1,649,166",36779903,WWW.FILTERMAG.COM,(480) 991-9939,
"INFINEON TECHNOLOGIES EPI SERVICES, INC.",,ARIZONA(USA),Single Location,"$1,631,930",36740000,https://www.infineon.com,(480) 668-4045,
"LIFECONNECT, INC",,ARIZONA(USA),Single Location,"$1,592,042",36790100,https://www.lifeconnect.com,(858) 361-7575,
"WESTERN SEMI SOLUTIONS, INC.",,ARIZONA(USA),Single Location,"$1,586,460",36740000,https://westernsemiconductor.com,,"20+ year old Electronic Design Automation (EDA) company specializing in RF and mixed-signal designs. IC (chip) design platform (Analog/Digital on Rails) automates Analog, RF (SiGe), and digital designs.
Specializes in automating SiGe and FinFET processes. 40-22nm PDKs."
GOULD ELECTRONICS INC FOIL DIVISION,,ARIZONA(USA),Single Location,"$1,566,223",36799905,,(480) 899-0343,
RELIABLE CIRCUITS MANUFACTURING INC.,,ARIZONA(USA),Single Location,"$1,521,241",36720000,WWW.RCMFGINC.COM,(310) 373-2174,
"SEDONIX, L.L.C.",,ARIZONA(USA),Single Location,"$1,506,096",36790100,WWW.VERDESOLARPOWER.COM,(928) 634-1400,
HEALTHTELL LLC,,ARIZONA(USA),Single Location,"$1,500,000",36740000,,(480) 884-1670,
"CRYSTAL SONIC, INC.",,ARIZONA(USA),Single Location,"$1,462,727",36740000,WWW.XTALSONIC.COM,(415) 866-0417,
TE CONNECTIVITY,,ARIZONA(USA),Single Location,"$1,450,957",36780000,WWW.TE.COM,(520) 217-0160,
HEXIUS SEMICONDUCTOR,,ARIZONA(USA),Single Location,"$1,398,416",36740000,WWW.HEXIUSSEMI.COM,(480) 302-6030,
"TICER TECHNOLOGIES, LLC",,ARIZONA(USA),Single Location,"$1,391,793",36790100,WWW.TICERTECHNOLOGIES.COM,(480) 223-0891,
"CE MANUFACTURING, LLC",,ARIZONA(USA),Single Location,"$1,385,953",36710217,https://www.cemfg.com,(480) 820-5411,"CE Manufacturing specializes in producing high-quality electronic components, preserving original hand-machined processes"
"APEX ELECTRONICS SOLUTIONS, INC.",,ARIZONA(USA),Single Location,"$1,372,464",36729901,,(480) 756-2220,
"SUMITOMO SITIX OF PHOENIX, INC",,ARIZONA(USA),Single Location,"$1,260,502",36740000,,,
"FILTERMAG INTERNATIONAL, INC.",,ARIZONA(USA),Single Location,"$1,248,973",36779903,WWW.FILTERMAG.COM,(480) 991-9939,
"RNB ENTERPRISES, INC.",,ARIZONA(USA),Single Location,"$1,224,570",36790100,WWW.RNBENT.COM,(602) 265-7564,
JUST CLIPS LLC,,ARIZONA(USA),Single Location,"$1,220,976",36799912,WWW.JUSTCLIPKITS.COM,(480) 458-5740,
NORCIMBUS INC.,,ARIZONA(USA),Single Location,"$1,187,679",36740000,WWW.COLLABRATECH.COM,(602) 437-8500,
"KYMAX TECHNOLOGIES, LLC",,ARIZONA(USA),Single Location,"$1,186,801",36790100,,(480) 648-4686,
"OEM TECHNOLOGIES, LLC",,ARIZONA(USA),Single Location,"$1,174,479",36740000,,,
"JABIL CIRCUIT, INC.",,ARIZONA(USA),Single Location,"$1,153,001",36720000,WWW.JABIL.COM,,
"MAXIM INTEGRATED PRODUCTS, INC.",,ARIZONA(USA),Single Location,"$1,140,167",36740000,WWW.ANALOG.COM,,
"ARIZONA MICROTEK, INC.",,ARIZONA(USA),Single Location,"$1,126,808",36740000,WWW.AZMICROTEK.COM,(480) 962-5881,
TEMEN & TEMEN ARIZONA LLC,,ARIZONA(USA),Single Location,"$1,111,184",36790204,,,
IOTA BALLAST AND TRANSFORMER CO,,ARIZONA(USA),Single Location,"$1,106,944",36770100,,(520) 294-3292,
"SPARK INDUSTRIES, LLC",,ARIZONA(USA),Headquarters,"$1,105,367",36770104,WWW.SPARKINDUSTRIESONLINE.COM,(602) 281-2046,
"PMC-SIERRA US, INC.",,ARIZONA(USA),Single Location,"$1,102,557",36740000,WWW.MICROSEMI.COM,,
LINEAR TECHNOLOGY LLC,,ARIZONA(USA),Single Location,"$1,089,295",36740000,https://lineartechllc.com,,"Linear Technologies, LLC is a building automation company based in Phoenix, Arizona, offering installation services and control system design."
3C TECHNICAL LLC,,ARIZONA(USA),Single Location,"$1,081,110",36740200,WWW.3CTECHNICAL.COM,(480) 963-4559,
CARBONFREE TECHNOLOGY CORP.,,ARIZONA(USA),Single Location,"$1,066,089",36740306,https://carbonfree.com,,"CarbonFree Technology specializes in the development and financing of solar projects across North America, including Arizona. They have successfully built over 100 projects, ranging from commercial rooftops to utility-scale solar farms, and are also developing battery and hydrogen storage solutions."
"CIRRUS LOGIC, INC.",,ARIZONA(USA),Single Location,"$1,044,067",36740000,WWW.CIRRUS.COM,,
BROADCOM CORPORATION,,ARIZONA(USA),Single Location,"$1,039,210",36740000,https://www.broadcom.com,,"Broadcom Inc. is a global technology leader that designs, develops, and supplies a broad range of semiconductor and infrastructure software solutions. Their Chandler, Arizona location focuses on semiconductor solutions."
DIALOG SEMICONDUCTOR INC.,,ARIZONA(USA),Single Location,"$1,037,228",36740000,WWW.RENESAS.COM,,
ROHM AND HAAS CO.,,ARIZONA(USA),Single Location,"$1,036,147",36740000,,,
GTAT CORPORATION,,ARIZONA(USA),Single Location,"$1,029,355",36740000,WWW.ONSEMI.COM,,
"BESI USA, INC.",,ARIZONA(USA),Single Location,"$1,029,199",36740100,WWW.BESI.COM,(480) 497-6404,
THALER CORPORATION,,ARIZONA(USA),Single Location,"$1,025,356",36740206,,(520) 882-4000,
"JTL DESIGN & MANUFACTURING SPECIALISTS, L.L.C.",,ARIZONA(USA),Single Location,"$1,010,196",36720000,WWW.JTLDESIGN.COM,(480) 897-3363,
"ONBOARD CIRCUITS, INC.",,ARIZONA(USA),Single Location,"$1,008,318",36720000,WWW.ONBOARDCIRCUITS.COM,(602) 753-2113,
"ENERNANO, LLC",,ARIZONA(USA),Single Location,"$1,004,468",36740000,,,
JW PCB CONSULTING LLC,,ARIZONA(USA),Single Location,"$1,004,468",36720000,,,
YI SIN MECHANICAL LLC,,ARIZONA(USA),Single Location,"$1,004,468",36740000,https://sites.google.com/yisinusa.com/yi-sin-mechanical-llc,,"Yi Sin Mechanical LLC is an American-owned service company in Phoenix, Arizona, providing skilled technical labor resources to support original equipment manufacturers with machine setup and operation in the semiconductor manufacturing industry."
QUALCOMM INCORPORATED,,ARIZONA(USA),Single Location,"$1,003,572",36740200,https://www.qualcomm.com,,"Qualcomm is a global leader in wireless technology innovation, developing and manufacturing semiconductor and telecommunications equipment. Their Tempe, Arizona location focuses on these technologies."
"KEMTEK XTALS, INC.",,ARIZONA(USA),Single Location,"$1,000,000",36790100,WWW.NETWORKSCIENCES.COM,(602) 258-8095,
MICROTECH MANUFACTURING LLC,,ARIZONA(USA),Single Location,"$997,466",36720000,WWW.MICROTECHAZ.COM,(480) 991-2228,
QINETIQ INC.,,ARIZONA(USA),Single Location,"$987,654",36799905,WWW.QINETIQ.COM,,
BUSTAMANTE CAR INTEL LLC,,ARIZONA(USA),Single Location,"$982,961",36740207,,,
EFFICIENT MGMT GROUP LLC,,ARIZONA(USA),Single Location,"$982,961",36740000,,,
HIGHER EDUCATION INTEL LLC,,ARIZONA(USA),Single Location,"$982,961",36740207,,,
RSS INTEL LLC,,ARIZONA(USA),Single Location,"$982,961",36740207,,,
BENCHMARK ELECTRONICS,,ARIZONA(USA),Single Location,"$982,480",36720000,WWW.BENCH.COM,,
"HYREL TECHNOLOGIES, INC.",,ARIZONA(USA),Single Location,"$980,990",36740000,WWW.HYREL.TECH,(480) 253-1295,
ICA TUCSON,,ARIZONA(USA),Single Location,"$980,917",36799905,WWW.ICAHOLDINGS.COM,,
"PLASTIC CAPACITORS, INC.",,ARIZONA(USA),Single Location,"$971,095",36750000,WWW.PLASTICCAPACITORS.COM,,
"OPT-TECH INTERNATIONAL, INC.",,ARIZONA(USA),Single Location,"$957,840",36740000,WWW.OPT-TECHINTL.COM,(520) 731-2975,
SPEECH CORNER L.L.C.,,ARIZONA(USA),Single Location,"$950,228",36790204,,(480) 917-4743,
"ARIZONA PROCOAT, CONFORMAL COATING SPECIALIST LLC",,ARIZONA(USA),Single Location,"$948,976",36720000,WWW.ARIZONAPROCOAT.COM,(623) 703-6524,
PRODUCTION PLUS INC,,ARIZONA(USA),Single Location,"$924,904",36790100,,,
"ARIZONA COIL WINDING CONSULTANTS, INC.",,ARIZONA(USA),Single Location,"$921,385",36790100,WWW.AZCOIL.COM,(928) 474-2182,
ELECTRONICA,,ARIZONA(USA),Single Location,"$916,703",36710000,,(602) 369-2861,
"PC DRILLING, INC.",,ARIZONA(USA),Single Location,"$915,475",36720000,WWW.PCDRILLING.COM,(480) 785-9127,
HONG INCORPORATED,,ARIZONA(USA),Single Location,"$913,416",36740000,,(520) 836-6291,
"HVVI SEMICONDUCTORS, INC.",,ARIZONA(USA),Single Location,"$913,229",36740000,WWW.HVVI.COM,(480) 776-3800,
"SOUTHWEST TECHNOLOGICAL SERVICES, INC.",,ARIZONA(USA),Single Location,"$907,944",36720000,,,
COMPAC DESIGN ELECTRONICS MANUFACTURING CO,,ARIZONA(USA),Single Location,"$896,748",36790100,,(480) 894-9511,
"CUSTOM CIRCUIT BOARDS, LLC",,ARIZONA(USA),Single Location,"$875,147",36720000,WWW.CUSTOMCIRCUITBOARDS.COM,(888) 906-6331,
KLA-TENCOR CORPORATION,,ARIZONA(USA),Single Location,"$868,179",36740000,WWW.KLA.COM,,
